epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0
1,170.489,0.35668,0.8815,0.9982,0.31632,0.006666667
2,219.662,0.28361,0.8885,0.9985,0.32298,0.01
3,261.136,0.24226,0.9047,0.9991,0.25788,0.01
4,303.133,0.21184,0.9107,0.9993,0.24706,0.009509796
5,347.886,0.19243,0.91,0.9986,0.24092,0.008136275
6,394.231,0.16927,0.9178,0.9991,0.22758,0.006151479
7,437.477,0.14187,0.9181,0.9992,0.22689,0.003948521
8,483.923,0.10611,0.9201,0.9992,0.22689,0.001963725
9,526.874,0.0687,0.9322,0.9995,0.20799,0.000590204
10,570.781,0.04193,0.9344,0.9993,0.2079,0.0001
