epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0
1,347.634,0.88418,0.8712,0.997,0.79614,0.006666667
2,479.115,0.81953,0.8912,0.9969,0.76274,0.01
3,743.621,0.7905,0.8878,0.9983,0.75311,0.01
4,875.209,0.75982,0.9059,0.9973,0.72686,0.009915717
5,1003.608,0.74767,0.9012,0.9976,0.72839,0.009665738
6,1134.339,0.74042,0.9092,0.9982,0.71435,0.009258575
7,1267.01,0.7335,0.9066,0.9983,0.71615,0.008708094
8,1396.636,0.73106,0.9085,0.9988,0.71045,0.008033041
9,1538.551,0.72329,0.9048,0.9985,0.71694,0.007256405
10,1681.035,0.71895,0.9122,0.9984,0.70891,0.006404632
11,1813.325,0.71225,0.9139,0.9977,0.70135,0.005506728
12,1941.957,0.70528,0.9164,0.9987,0.69081,0.004593272
13,2069.238,0.69961,0.9222,0.998,0.68196,0.003695368
14,2198.44,0.69175,0.9216,0.9984,0.68512,0.002843595
15,2327.59,0.6832,0.9256,0.9987,0.67355,0.002066959
16,2455.315,0.67578,0.9271,0.9984,0.67122,0.001391906
17,2588.07,0.66703,0.9273,0.998,0.66647,0.000841425
18,2721.921,0.65936,0.9316,0.9982,0.65997,0.000434262
19,2859.393,0.6536,0.9304,0.9983,0.65651,0.000184283
20,2985.907,0.64971,0.9319,0.9983,0.65565,0.0001
