epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0
1,145.141,0.35668,0.8815,0.9982,0.31632,0.006666667
2,295.221,0.28317,0.8991,0.9984,0.27181,0.01
3,449.458,0.24563,0.8975,0.9991,0.26588,0.01
4,599.043,0.21139,0.9152,0.999,0.22603,0.00996653
5,735.64,0.19429,0.9042,0.9993,0.26052,0.009866572
6,867.445,0.18532,0.9179,0.9993,0.22848,0.009701478
7,1000.695,0.17488,0.915,0.9988,0.23444,0.009473482
8,1154.428,0.16758,0.9172,0.9991,0.22798,0.009185665
9,1307.223,0.15771,0.9002,0.9988,0.26666,0.00884192
10,1475.59,0.15102,0.9171,0.9995,0.22284,0.008446896
11,1638.853,0.14171,0.9234,0.9988,0.22043,0.008005935
12,1796.572,0.13197,0.9129,0.9991,0.24137,0.007525
13,1956.404,0.12755,0.9211,0.9991,0.23476,0.007010595
14,2109.15,0.11474,0.9158,0.9983,0.25302,0.006469676
15,2264.27,0.10637,0.9095,0.9983,0.27251,0.005909558
16,2416.603,0.09562,0.9145,0.9989,0.24637,0.005337817
17,2563.258,0.08419,0.9216,0.9986,0.22869,0.004762183
18,2709.297,0.07309,0.9233,0.9986,0.24811,0.004190442
19,2858.152,0.05984,0.9195,0.9987,0.25476,0.003630324
20,3001.162,0.0477,0.9211,0.9986,0.26392,0.003089405
21,3139.29,0.03696,0.9256,0.9988,0.25666,0.002575
22,3283.465,0.02508,0.9262,0.9986,0.25696,0.002094065
23,3435.611,0.01545,0.9261,0.9981,0.27188,0.001653104
24,3566.664,0.0093,0.929,0.9978,0.26491,0.00125808
25,3665.54,0.00617,0.9309,0.9978,0.2704,0.000914335
26,3769.093,0.005,0.9327,0.998,0.26979,0.000626518
27,3854.36,0.00442,0.9318,0.998,0.26624,0.000398522
28,3939.635,0.00423,0.9318,0.9981,0.27123,0.000233428
29,4024.572,0.00407,0.9322,0.9981,0.26464,0.00013347
30,4108.796,0.00403,0.9324,0.9981,0.26541,0.0001
