epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0
1,585.858,0.30355,0.9143,0.9995,0.23399,6.6667e-05
2,1168.443,0.23002,0.9134,0.9994,0.24035,0.0001
3,1758.291,0.21998,0.9082,0.9997,0.24635,0.0001
4,2344.33,0.18916,0.9319,0.9994,0.19268,9.5098e-05
5,2935.379,0.16683,0.9208,0.9993,0.22634,8.1363e-05
6,3580.97,0.13778,0.933,0.9995,0.19316,6.1515e-05
7,4177.009,0.10831,0.9394,0.9998,0.17299,3.9485e-05
8,4770.258,0.07376,0.9362,0.9998,0.18876,1.9637e-05
9,5365.935,0.04243,0.9464,0.9995,0.17665,5.902e-06
10,5953.976,0.02121,0.9497,0.9994,0.18363,1e-06
