epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0
1,491.382,0.79172,0.9055,0.9984,0.70564,3.3333e-05
2,1047.623,0.69959,0.9128,0.9994,0.68434,5e-05
3,1553.374,0.67956,0.9054,0.9995,0.69997,5e-05
4,2059.791,0.65873,0.928,0.9995,0.65686,4.9579e-05
5,2554.849,0.6429,0.9314,0.9985,0.655,4.8329e-05
6,3133.172,0.62886,0.9348,0.9992,0.64403,4.6293e-05
7,3708.566,0.61818,0.9363,0.9992,0.65127,4.354e-05
8,4290.453,0.60986,0.9291,0.9993,0.66043,4.0165e-05
9,4942.576,0.59697,0.9399,0.9995,0.6362,3.6282e-05
10,5645.996,0.58814,0.9414,0.9989,0.6367,3.2023e-05
11,6362.642,0.57777,0.9451,0.9995,0.63121,2.7534e-05
12,7487.321,0.568,0.9423,0.9986,0.64467,2.2966e-05
13,8304.393,0.55826,0.945,0.998,0.64175,1.8477e-05
14,9041.948,0.54643,0.9455,0.9978,0.64549,1.4218e-05
15,9538.708,0.53957,0.9475,0.997,0.6502,1.0335e-05
16,10084.843,0.53199,0.9487,0.9962,0.64755,6.96e-06
17,10598.321,0.52635,0.9501,0.9948,0.65158,4.207e-06
18,11122.156,0.52135,0.9512,0.9947,0.64799,2.171e-06
19,11639.402,0.51874,0.9506,0.9934,0.64927,9.21e-07
20,12206.962,0.51631,0.9517,0.9933,0.64883,5e-07
