epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0
1,1475.599,0.61089,0.9099,0.9987,0.50899,3.2e-05
2,3597.942,0.50381,0.9146,0.9996,0.48524,4.8e-05
3,7954.83,0.48065,0.9112,0.9995,0.49042,6.4e-05
4,8518.384,0.47259,0.927,0.9991,0.46533,8e-05
5,9123.268,0.46537,0.9261,0.9994,0.46501,8e-05
6,9628.02,0.44868,0.9284,0.9994,0.45279,7.9691e-05
7,10134.394,0.43421,0.9297,0.9993,0.46508,7.8768e-05
8,10631.558,0.4263,0.9193,0.9996,0.47331,7.7247e-05
9,11339.693,0.41374,0.9355,0.9997,0.43968,7.5151e-05
10,11948.766,0.4049,0.9361,0.9993,0.43997,7.2513e-05
11,12444.26,0.39788,0.9431,0.9996,0.42752,6.9376e-05
12,12938.621,0.38714,0.9387,0.9989,0.44222,6.5787e-05
13,13732.416,0.37929,0.943,0.9991,0.42969,6.1804e-05
14,14178.432,0.37071,0.9388,0.9985,0.45807,5.7491e-05
15,14637.99,0.36258,0.9425,0.9988,0.44866,5.2913e-05
16,15179.637,0.35328,0.9455,0.9985,0.43384,4.8145e-05
17,15632.32,0.34528,0.946,0.9982,0.43848,4.3261e-05
18,16122.012,0.33566,0.9494,0.9982,0.43309,3.8339e-05
19,16627.337,0.3301,0.9438,0.9978,0.45931,3.3455e-05
20,17155.753,0.32174,0.9467,0.9971,0.45409,2.8687e-05
21,17620.0,0.31533,0.9483,0.9968,0.46137,2.4109e-05
22,18121.207,0.30986,0.9513,0.9972,0.44723,1.9796e-05
23,18607.869,0.30395,0.9504,0.9951,0.45922,1.5813e-05
24,19082.593,0.30066,0.9498,0.9927,0.46832,1.2224e-05
25,19554.031,0.29609,0.9531,0.9931,0.45768,9.087e-06
26,20037.234,0.29389,0.9516,0.9932,0.46232,6.449e-06
27,20512.039,0.29101,0.9526,0.9923,0.46473,4.353e-06
28,20989.469,0.29084,0.9538,0.9917,0.45916,2.832e-06
29,21460.011,0.28857,0.9517,0.9912,0.46519,1.909e-06
30,21935.197,0.28735,0.9518,0.9913,0.46722,1.6e-06
