epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,470.139,1.36417,0.8223,0.9948,0.49728,0.000237937,0.000237937,0.000237937
2,766.357,0.81666,0.8528,0.9975,0.44002,0.000428819,0.000428819,0.000428819
3,1042.59,0.7089,0.8647,0.9984,0.39118,0.000572577,0.000572577,0.000572577
4,1287.89,0.6311,0.8782,0.9987,0.34222,0.000501942,0.000501942,0.000501942
5,1544.2,0.56823,0.8843,0.999,0.33376,0.000431256,0.000431256,0.000431256
6,1822.06,0.52837,0.8957,0.9989,0.30025,0.00036057,0.00036057,0.00036057
7,2081.76,0.4966,0.896,0.999,0.29184,0.000289884,0.000289884,0.000289884
8,2357.99,0.47319,0.9009,0.9992,0.27526,0.000219198,0.000219198,0.000219198
9,2635.79,0.4439,0.903,0.9992,0.27161,0.000148512,0.000148512,0.000148512
10,2913.39,0.42689,0.9056,0.9991,0.264,7.7826e-05,7.7826e-05,7.7826e-05
