epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,111.806,0.96618,0.8199,0.9968,0.46767,0.000333156,0.000333156,0.0670176
2,214.605,0.69336,0.8611,0.9983,0.38071,0.000633498,0.000633498,0.0339846
3,316.526,0.60839,0.8706,0.9984,0.36,0.00090084,0.00090084,0.000918618
4,414.336,0.57006,0.8837,0.9986,0.32359,0.0008515,0.0008515,0.0008515
5,509.922,0.53121,0.8927,0.9987,0.3075,0.000802,0.000802,0.000802
6,652.416,0.5059,0.8892,0.9989,0.29684,0.0007525,0.0007525,0.0007525
7,820.742,0.48627,0.8976,0.9989,0.28002,0.000703,0.000703,0.000703
8,922.348,0.47184,0.9062,0.9989,0.26594,0.0006535,0.0006535,0.0006535
9,1047.26,0.45626,0.9067,0.9989,0.25751,0.000604,0.000604,0.000604
10,1205.71,0.44914,0.9038,0.9988,0.25588,0.0005545,0.0005545,0.0005545
11,1387.85,0.43289,0.9072,0.9993,0.25019,0.000505,0.000505,0.000505
12,1493.17,0.42005,0.9097,0.9992,0.24108,0.0004555,0.0004555,0.0004555
13,1604.37,0.41264,0.911,0.9991,0.23723,0.000406,0.000406,0.000406
14,1836.19,0.40294,0.9129,0.9991,0.23412,0.0003565,0.0003565,0.0003565
15,1956.43,0.39066,0.9127,0.9991,0.23221,0.000307,0.000307,0.000307
16,2064.61,0.375,0.9127,0.9991,0.22882,0.0002575,0.0002575,0.0002575
17,2177.26,0.3695,0.9143,0.9991,0.22627,0.000208,0.000208,0.000208
18,2287.79,0.36074,0.916,0.9991,0.22501,0.0001585,0.0001585,0.0001585
19,2397.75,0.34893,0.9164,0.9992,0.22428,0.000109,0.000109,0.000109
20,2492.44,0.348,0.9162,0.9992,0.22269,5.95e-05,5.95e-05,5.95e-05
