epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,114.359,0.97426,0.8161,0.9966,0.47598,0.000399787,0.000399787,0.0670842
2,220.209,0.71455,0.8589,0.9981,0.38734,0.000797607,0.000797607,0.0341487
3,321.933,0.63778,0.8715,0.9983,0.36498,0.00118674,0.00118674,0.00120452
4,414.577,0.5935,0.8798,0.9985,0.33078,0.00117078,0.00117078,0.00117078
5,526.994,0.55146,0.886,0.9988,0.31613,0.00114839,0.00114839,0.00114839
6,639.657,0.52778,0.888,0.9988,0.30601,0.00112002,0.00112002,0.00112002
7,731.147,0.51224,0.8915,0.999,0.2901,0.00108598,0.00108598,0.00108598
8,832.062,0.49317,0.9005,0.9988,0.27291,0.00104666,0.00104666,0.00104666
9,922.065,0.47335,0.9039,0.999,0.26392,0.00100247,0.00100247,0.00100247
10,1059.65,0.4733,0.9024,0.999,0.26117,0.000953908,0.000953908,0.000953908
11,1149.83,0.45775,0.9066,0.9989,0.25666,0.0009015,0.0009015,0.0009015
12,1241.27,0.4465,0.9069,0.9989,0.25143,0.000845822,0.000845822,0.000845822
13,1332.36,0.43426,0.9104,0.9991,0.24268,0.000787483,0.000787483,0.000787483
14,1489.99,0.42152,0.9115,0.9991,0.23752,0.000727123,0.000727123,0.000727123
15,1774.72,0.40957,0.9114,0.9989,0.23586,0.000665403,0.000665403,0.000665403
16,2131.64,0.40177,0.9121,0.9991,0.23483,0.000603,0.000603,0.000603
17,2460.11,0.39175,0.9124,0.9991,0.23142,0.000540597,0.000540597,0.000540597
18,2795.65,0.38531,0.913,0.9991,0.22924,0.000478877,0.000478877,0.000478877
19,3125.76,0.37578,0.9142,0.9991,0.22775,0.000418517,0.000418517,0.000418517
20,3485.78,0.3718,0.9157,0.9991,0.22575,0.000360178,0.000360178,0.000360178
21,3913.36,0.35897,0.9154,0.9992,0.22517,0.0003045,0.0003045,0.0003045
22,4243.99,0.35644,0.9149,0.9992,0.22591,0.000252092,0.000252092,0.000252092
23,4587.09,0.34819,0.9159,0.9992,0.22478,0.000203529,0.000203529,0.000203529
24,4918.59,0.34428,0.916,0.9991,0.222,0.000159343,0.000159343,0.000159343
25,5237.6,0.34093,0.9164,0.9992,0.22055,0.000120017,0.000120017,0.000120017
26,5572.56,0.33728,0.9171,0.9992,0.22039,8.59828e-05,8.59828e-05,8.59828e-05
27,5954.96,0.33673,0.9172,0.9993,0.21972,5.76134e-05,5.76134e-05,5.76134e-05
28,6285.66,0.33017,0.9174,0.9993,0.22212,3.52193e-05,3.52193e-05,3.52193e-05
29,6460.27,0.3299,0.9174,0.9993,0.2179,1.90459e-05,1.90459e-05,1.90459e-05
30,6587.21,0.33232,0.9174,0.9993,0.21692,9.27043e-06,9.27043e-06,9.27043e-06
