epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,364.691,1.3724,0.7828,0.9936,0.58457,0.00999733,0.00333244,0.00999733,0.00333244,0.00999733,0.00333244,0.00999733,0.00333244
2,938.249,1.06937,0.7681,0.9932,0.66038,0.0193374,0.00644581,0.0193374,0.00644581,0.0193374,0.00644581,0.0193374,0.00644581
3,1448.72,1.32589,0.7816,0.9951,0.67985,0.0280175,0.00933917,0.0280175,0.00933917,0.0280175,0.00933917,0.0280175,0.00933917
4,1866.06,1.33196,0.8053,0.9961,0.54559,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
5,2275.03,1.06783,0.8176,0.9964,0.50353,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
6,2708.91,0.91799,0.8545,0.9982,0.41415,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
7,3135.49,0.75336,0.8694,0.998,0.37433,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
8,3400,0.73642,0.8737,0.9986,0.35514,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
9,3678.56,0.66695,0.8794,0.9986,0.34485,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
10,4102.48,0.64117,0.8781,0.9984,0.33485,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
11,4511.46,0.58716,0.8805,0.9987,0.31839,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
12,4945.85,0.57263,0.8856,0.9987,0.30882,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
13,5369.13,0.57093,0.8868,0.9989,0.30474,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
14,5790.06,0.56847,0.8889,0.9988,0.30187,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
15,6067.02,0.525,0.8904,0.9988,0.30308,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
16,6251.24,0.51215,0.8891,0.9987,0.30968,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
17,6663.17,0.50115,0.8934,0.9987,0.29304,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
18,7169.69,0.49942,0.8937,0.9987,0.29004,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
19,7609.58,0.48296,0.8942,0.9988,0.28792,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
20,8037.29,0.46831,0.8948,0.9988,0.28551,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
21,8514.04,0.46424,0.8949,0.9988,0.28387,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
22,8946.53,0.44736,0.895,0.9988,0.28249,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
23,9383.55,0.44172,0.8964,0.9988,0.28067,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
24,9840.21,0.43124,0.8967,0.9988,0.2787,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
25,10277.4,0.41907,0.8975,0.9988,0.27618,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
26,10714.1,0.41164,0.8975,0.999,0.27444,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
27,11143.7,0.40062,0.8981,0.999,0.27257,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
28,11574.1,0.39137,0.8988,0.999,0.27145,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
29,12003.9,0.38024,0.8998,0.999,0.26854,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
30,12363.6,0.37756,0.9013,0.9989,0.26654,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
